Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
24549 - 2015,06/11/2015,1 - CONVITE,652,TORNEADORA GALVAO LTDA,980,"aquisição de carrinho de carga, carro plataforma em aço e carrinho de transporte de materiais, em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de carrinho de carga, carro plataforma em aço e carrinho de transporte de materiais, em atendimento à Secretaria Municipal de Administração.",CLIFF MAIK AZEVEDO - ME,11881.8,LYNX ELEVADORES LTDA-ME,2,DL KARAM COMERCIAL E DISTRIBUIDORA DE PRODUTOS TEXTEIS LTDA,Prefeitura Municipal de Uberlândia
27844 - 2014,10/09/2014,5 - PREGÃO PRESENCIAL,915,TRADE MARKETING HOTEIS TURISMO E EVENTOS LTDA,15000,"futura e eventual prestação de serviços de reserva, emissão, marcação, reemissão, cancelamento e reembolso de bilhetes de passagens aéreas nacionais e internacionais, em atendimento às Secretarias e Órgãos da Administração Direta da PMU.",Secretaria Municipal de Administração,"Qual o valor gasto com futura e eventual prestação de serviços de reserva, emissão, marcação, reemissão, cancelamento e reembolso de bilhetes de passagens aéreas nacionais e internacionais, em atendimento às Secretarias e Órgãos da Administração Direta da PMU.",CM HOSPITALAR LTDA,1457301.03,M & A EMPREITEIRA LTDA - ME,2,DMC DISTRIBUIDORA COMERCIO D' MEDICAMENTOS LTDA EPP,Prefeitura Municipal de Uberlândia
24838 - 2015,26/11/2015,1 - CONVITE,659,SILVEIRA GUIMARAES MATERIAIS PARA CONSTRUCAO EIRELI - EPP,3973.25,"fornecimento de diversos materiais (fita isolante, soquete para lampada, condulete, lampada, fio paralelo, etc.) em atendimento a Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com fornecimento de diversos materiais (fita isolante, soquete para lampada, condulete, lampada, fio paralelo, etc.) em atendimento a Secretaria Municipal de Administração.",COCAL CEREAIS LTDA,1220919.8,M2 SOM E LUZ LTDA - ME,4,DOMINO COMERCIO DE EQUIPAMENTOS - EIRELI - EPP,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL ELETRO - EIRELI - EPP,203322,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COELHO E FONTES LTDA - ME,84.2,MAAP COMERCIO DE MOVEIS PARA ESCRITORIO EIRELI-EPP,3,DSF DESENVOLVIMENTO DE SISTEMAS FISCAIS LTDA,Prefeitura Municipal de Uberlândia
24551 - 2015,10/11/2015,1 - CONVITE,654,NASCUCAR INDUSTRIA E COMERCIO LTDA - EPP,7030,"aquisição de papel higiênico 30 metros e papel higiênico 500 metros (tipo rolão), em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de papel higiênico 30 metros e papel higiênico 500 metros (tipo rolão), em atendimento à Secretaria Municipal de Administração.",COLDLAB INDUSTRIA COMERCIO E ASSISTENCIA TECNICA LTDA-ME,63770,MADEIREIRA AIMORE EIRELI - EPP,5,DURABRAX IND E COM DE TINTAS INDUSTRIAIS LTDA-ME,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,NASCUCAR INDUSTRIA E COMERCIO LTDA - EPP,12419.5,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COM TECH INFORMATICA LTDA,3239854.07,MADEIREIRA REI DE MINAS EIRELI - EPP,8,E-SELL TECNOLOGIA LTDA-EPP,Prefeitura Municipal de Uberlândia
27419 - 2014,20/02/2015,5 - PREGÃO PRESENCIAL,903,NUTRIR REFEICOES COLETIVAS LTDA - EPP,9821000,"futuro ou eventual fornecimento de refeições, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de refeições, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COMERCIAL BARACUI & SANTOS LTDA - EPP,1518222.73,MAGAZIN PARIS VIDA AO VIVO LTDA-EPP,2,ECOMULTI SERVICOS E COMERCIO LTDA - EPP,Prefeitura Municipal de Uberlândia
29565 - 2014,04/08/2015,5 - PREGÃO PRESENCIAL,971,COMERCIAL BARACUI & SANTOS LTDA - EPP,464876.5,"futura ou eventual fornecimento de materiais de marcenaria (assento, thinner, tinta esmalte, fundo para pintura, etc), em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual fornecimento de materiais de marcenaria (assento, thinner, tinta esmalte, fundo para pintura, etc), em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COMERCIAL CIA DA GRAMA & SERVICOS LTDA,135362.5,MAPFRE SEGUROS GERAIS S A,4,EDEN - COMERCIO E SERVICOS LTDA-ME,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,UNIJOHN SISTEMAS DE LIMPEZA LTDA - EPP,139000,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COMERCIAL DANTHAW LTDA - ME,147703.3,MARCA D'AGUA LTDA - ME,2,EGIDE - COMERCIO DE VESTUARIO E ELETRODOMESTICOS LTDA - ME,Prefeitura Municipal de Uberlândia
11638 - 2015,28/08/2015,5 - PREGÃO PRESENCIAL,197,EMPRESA MINEIRA DE COMPUTADORES LTDA,1112400,futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,Secretaria Municipal de Administração,Qual o valor gasto com futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,COMERCIAL ELETRO - EIRELI - EPP,708293.94,MARCELA PERIM DE MORAES LUCINDO - ME,3,ELETROFRI MANUTENCOES LTDA,Prefeitura Municipal de Uberlândia
24842 - 2015,10/11/2015,1 - CONVITE,663,ME COMERCIAL EIRELI,2070,"aquisição de copos descartáveis: para café 50 ml e para água 200 ml (branco e material polipropileno não tóxico, virgem, de acordo com a norma da ABNT/NBR n°14865), em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de copos descartáveis: para café 50 ml e para água 200 ml (branco e material polipropileno não tóxico, virgem, de acordo com a norma da ABNT/NBR n°14865), em atendimento à Secretaria Municipal de Administração.",COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,616662.26,MAXICROM INDUSTRIA GRAFICA LTDA - EPP,6,ELEVADORES ATLAS SCHINDLER S A,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,SOUSA & COSTA LTDA - ME,40034,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COMERCIAL LORENA LTDA - EPP,38043.48,ME COMERCIAL EIRELI,21,ELEVADORES ORION LTDA,Prefeitura Municipal de Uberlândia
19200 - 2015,26/08/2015,1 - CONVITE,416,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,662.16,"contratação de apólice de seguro, para um imóvel que abriga a Diretoria de Compras e para 03 (três ) veículos de propriedade da Procuradoria Geral do Município, em atendimento à Secretaria Municipal de Administração e Procuradoria Geral do Municipio.",Secretaria Municipal de Administração,"Qual o valor gasto com contratação de apólice de seguro, para um imóvel que abriga a Diretoria de Compras e para 03 (três ) veículos de propriedade da Procuradoria Geral do Município, em atendimento à Secretaria Municipal de Administração e Procuradoria Geral do Municipio.",COMERCIAL MACKEY LTDA - ME,71439.72,MECA OFFICE MOBILIARIO EIRELI,6,ELEVAR COMERCIO E ASSISTENCIA TECNICA DE ELEVADORES LTDA,Prefeitura Municipal de Uberlândia
24552 - 2015,10/11/2015,1 - CONVITE,655,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,6392,"aquisição de Caixa plástica (supermecado) com dimensões de 520x320x300 milímetros Bobina rolo de filme strech 500 metros e Caixa plástica (supermecado) com dimensões de 580x370x220 milímetro, em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de Caixa plástica (supermecado) com dimensões de 520x320x300 milímetros Bobina rolo de filme strech 500 metros e Caixa plástica (supermecado) com dimensões de 580x370x220 milímetro, em atendimento à Secretaria Municipal de Administração.",COMETA DISTRIBUIDORA DE PECAS E SERVICOS LTDA - ME,3845,MECATRON TECNICA LTDA - ME,2,ELISVANDIA MATOS DONINI ME,Prefeitura Municipal de Uberlândia
24549 - 2015,06/11/2015,1 - CONVITE,652,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,5580,"aquisição de carrinho de carga, carro plataforma em aço e carrinho de transporte de materiais, em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de carrinho de carga, carro plataforma em aço e carrinho de transporte de materiais, em atendimento à Secretaria Municipal de Administração.",COMIGO COMERCIAL MINAS GOIAS LTDA - EPP,605584.73,MEDTEC - SUPRIMENTOS MEDICO HOSPITALARES LTDA - EPP,2,EMSA EMPRESA SUL AMERICANA DE MONTAGENS SA,Prefeitura Municipal de Uberlândia
12794 - 2015,25/08/2015,5 - PREGÃO PRESENCIAL,226,COMERCIAL ELETRO - EIRELI - EPP,113750,"futura ou e eventual aquisição de estabilizadores, em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou e eventual aquisição de estabilizadores, em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COMPANHIA MINEIRA DE ELETRIFICACAO LTDA,1522806,MIDIAPEL PAPELARIA E INFORMATICA LTDA - ME,11,EPISEG COMERCIAL LTDA - ME,Prefeitura Municipal de Uberlândia
11638 - 2015,28/08/2015,5 - PREGÃO PRESENCIAL,197,COM TECH INFORMATICA LTDA,2224440,futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,Secretaria Municipal de Administração,Qual o valor gasto com futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,COMVALLE PRODUTOS E ALIMENTOS LTDA - EPP,293670,MILLENIUM SERVICOS COMERCIO E DISTRIBUICAO LTDA - ME,5,EVOLUE COMERCIO DE EQUIPAMENTOS PARA TELECOMUN LTDA - EPP,Prefeitura Municipal de Uberlândia
13888 - 2015,19/08/2015,5 - PREGÃO PRESENCIAL,259,COPAGAZ DISTRIBUIDORA DE GAS S.A,1590000,"fornecimento de gás GLP (de cozinha), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com fornecimento de gás GLP (de cozinha), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CONCORRENCIA COMERCIO E SERVICOS LTD-EPP,452738.6,MINAS MAIS PRODUTOS ALIMENTICIOS E SERVICOS LTDA - EPP,6,EXCLUSIVA DISTRIBUIDORA DE MEDICAMENTOS LTDA - ME,Prefeitura Municipal de Uberlândia
29565 - 2014,04/08/2015,5 - PREGÃO PRESENCIAL,971,ELDORADO MATERIAIS PARA CONSTRUCAO LTDA - EPP,500580,"futura ou eventual fornecimento de materiais de marcenaria (assento, thinner, tinta esmalte, fundo para pintura, etc), em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual fornecimento de materiais de marcenaria (assento, thinner, tinta esmalte, fundo para pintura, etc), em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CONEXAO MEDICA COMERCIAL EIRELI- EPP,4610,MOURA EMPREENDIMENTOS COMERCIAIS LTDA - ME,3,EXPRESSA DISTRIBUIDORA DE MEDICAMENTOS LTDA,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,COMERCIAL DANTHAW LTDA - ME,147703.3,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CONFIANCE MEDICAL PRODUTOS MEDICOS LTDA - EPP,591340,NASCUCAR INDUSTRIA E COMERCIO LTDA - EPP,17,EXTINTORES REGIONAL LTDA - EPP,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,ME COMERCIAL EIRELI,177857.5,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CONKAST EQUIPAMENTOS TECNOLOGICOS LTDA ME,219500,NASMAN INDUSTRIA COMERCIO E CONSTRUCOES LTDA,2,FABIO VLADIMIR SILVA - ME,Prefeitura Municipal de Uberlândia
11638 - 2015,28/08/2015,5 - PREGÃO PRESENCIAL,197,DOMINIUM INFORMATICA LTDA,1968000,futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,Secretaria Municipal de Administração,Qual o valor gasto com futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,CONSTRU VIDRO COMERCIO E SERVICOS LTDA - ME,138034.18,NOROESTE COMERCIAL DE SUPRIMENTOS LTDA - ME,4,FARED COMERCIAL LTDA ME,Prefeitura Municipal de Uberlândia
2445 - 2015,13/02/2015,1 - CONVITE,25,OPCAO PAPEIS COMERCIO LTDA - ME,1583.2,"aquisição de Etiquetas Auto Adesivas, em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de Etiquetas Auto Adesivas, em atendimento à Secretaria Municipal de Administração.",CONSTRUTORA FIEL ROSA LTDA EPP,519006.46,NOVO SECULO MOVEIS PARA ESCRITORIO LTDA - EPP,5,FBS ALIMENTOS EIRELI - EPP,Prefeitura Municipal de Uberlândia
11518 - 2015,22/07/2015,6 - PREGÃO ELETRÔNICO,195,PLACASIL MG INDUSTRIA E COMERCIO LTDA - EPP,93250,"aquisição de materiais (suporte para faixa amarela em alumínio, placa de identificação para moto em alumínio prismático e outros), em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de materiais (suporte para faixa amarela em alumínio, placa de identificação para moto em alumínio prismático e outros), em atendimento à Secretaria Municipal de Administração.",CONSTRUTORA SODESTE LTDA,5251160.88,NUTRI NUTS COMERCIO E DISTRIBUICAO EIRELI,2,FERRAGISTA INES LTDA,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,141380.7,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COOPERATIVA AGROPECUARIA LTDA DE UBERLANDIA,675870.41,NUTRIR REFEICOES COLETIVAS LTDA - EPP,7,FINGER & SOMMER ENGENHARIA E CONSULTORIA LTDA-EPP,Prefeitura Municipal de Uberlândia
30216 - 2014,14/01/2015,1 - CONVITE,1005,QUALITY SISTEMAS DE IDENTIFICACAO LTDA - ME,17500,"confecção de crachás de identificação funcional, com foto, código de barras, em ""polaseal(super card)"", para atender a Diretoria de Desenvolvimento Humano da Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com confecção de crachás de identificação funcional, com foto, código de barras, em ""polaseal(super card)"", para atender a Diretoria de Desenvolvimento Humano da Secretaria Municipal de Administração.",COOPERATIVA DE TRABALHO E TRANSPORTE DE UBERLANDIA LTDA - CO,487830,OLIVEIRA & LOURENCO INDUSTRIA DE PANIFICACAO LTDA - ME,26,FLASH IND E COM DE PROD E SIST ELETROELETRONICOS LTDA-EPP,Prefeitura Municipal de Uberlândia
24838 - 2015,26/11/2015,1 - CONVITE,659,BARACUI COMERCIAL LTDA - ME,2413,"fornecimento de diversos materiais (fita isolante, soquete para lampada, condulete, lampada, fio paralelo, etc.) em atendimento a Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com fornecimento de diversos materiais (fita isolante, soquete para lampada, condulete, lampada, fio paralelo, etc.) em atendimento a Secretaria Municipal de Administração.",COPAGAZ DISTRIBUIDORA DE GAS S.A,2088931.6,OPCAO PAPEIS COMERCIO LTDA - ME,14,FREITAS & MORAIS CONSTRUTORA LTDA,Prefeitura Municipal de Uberlândia
31123 - 2014,09/04/2015,5 - PREGÃO PRESENCIAL,1034,DIEGO ALBERTO RAMOS RAFAEL - ME,1222501.04,futura ou eventual fornecimento de produtos para coffee break em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal de Administração,Qual o valor gasto com futura ou eventual fornecimento de produtos para coffee break em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,COPIADORA & CARIMBOS URGENTE LTDA - ME,1567.7,PAPELARIA COMERCIAL DE UBERLANDIA LTDA - EPP,3,FUSYON PRIME COMERCIO DE MERCADORIAS E SERVICOS LTDA-ME,Prefeitura Municipal de Uberlândia
29565 - 2014,04/08/2015,5 - PREGÃO PRESENCIAL,971,BEIJA-FLORZINHO MATERIAIS PARA CONSTRUCAO EIRELI - ME,39494.19,"futura ou eventual fornecimento de materiais de marcenaria (assento, thinner, tinta esmalte, fundo para pintura, etc), em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual fornecimento de materiais de marcenaria (assento, thinner, tinta esmalte, fundo para pintura, etc), em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",COSTA CAMARGO COM DE PRODUTOS HOSPITALARES LTDA -EPP,556500,PAPELARIA GLOBO LTDA - EPP,2,G I GEOPROCESSAMENTO E INTERNET LTDA - ME,Prefeitura Municipal de Uberlândia
27956 - 2014,26/11/2015,5 - PREGÃO PRESENCIAL,920,NASCUCAR INDUSTRIA E COMERCIO LTDA - EPP,81989.5,"futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CRISTAL PHARMA LTDA,231651.9,PARQUELANDIA LTDA - ME,2,GALAXY COMERCIAL LTDA - ME,Prefeitura Municipal de Uberlândia
16649 - 2015,04/08/2015,1 - CONVITE,339,NASCUCAR INDUSTRIA E COMERCIO LTDA - EPP,40480,"aquisição de café, pacote 500g, torrado e moído, de primeira qualidade, embalagem tipo almofada aluminizada, corpo encorpado, moagem fina, que serão utilizados pelos órgãos da Prefeitura, em atendimento a Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de café, pacote 500g, torrado e moído, de primeira qualidade, embalagem tipo almofada aluminizada, corpo encorpado, moagem fina, que serão utilizados pelos órgãos da Prefeitura, em atendimento a Secretaria Municipal de Administração.",CRISTIANO COSTA LINO - ME,25950,PARREIRA AGRICOLA LTDA - EPP,2,GAMA COMERCIO DE EQUIPAMENTOS-EIRELI-EPP,Prefeitura Municipal de Uberlândia
27878 - 2014,13/02/2015,5 - PREGÃO PRESENCIAL,918,C R BUFE E EVENTOS LTDA - ME,145300,"futuro ou eventual fornecimento de coffee break, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de coffee break, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CROSARA ENGENHARIA DE CUSTOS E PROJETOS LTDA,8290,PLACASIL MG INDUSTRIA E COMERCIO LTDA - EPP,2,GARDENIA ANDRADE FONTOURA - ME,Prefeitura Municipal de Uberlândia
27956 - 2014,26/11/2015,5 - PREGÃO PRESENCIAL,920,ME COMERCIAL EIRELI,7839,"futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CSC CONSTRUTORA SIQUEIRA CARDOSO EIRELI - EPP,328653.59,PLANO A COMERCIO E SERVICOS LTDA - ME,23,GBE CONSTRUTORA LTDA - EPP,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,CONCORRENCIA COMERCIO E SERVICOS LTD-EPP,432738.6,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CURINGA CAMINHOES LTDA,267400,PLOTTER LUMINOSOS LTDA - ME,4,GCT GERENCIAMENTO E CONTROLE DE TRANSITO SA,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,LIMP FACIL COMERCIO E SERVICOS EIRELI,12655.5,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CURINGA VEICULOS LTDA,116986.66,PLUSSPORT COMERCIAL LTDA-EPP,3,GEMA FORTE LTDA - EPP,Prefeitura Municipal de Uberlândia
27956 - 2014,26/11/2015,5 - PREGÃO PRESENCIAL,920,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,3083.6,"futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",D C J MAQUINAS AGRICOLAS LTDA-ME,103227,POLO SUL INDUSTRIA E COMERCIO DE CONFECCOES LTDA-ME,2,GENTE SEGURADORA S/A,Prefeitura Municipal de Uberlândia
27956 - 2014,26/11/2015,5 - PREGÃO PRESENCIAL,920,THIAGO MARTINS COMERCIO E DISTRIBUIDORA LTDA - EPP,259094.3,"futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",D' PAI PARA FILHO COMERCIO E SERVICOS EM VELOCIMETROS E TACO,1500,PONTASUL MOVEIS LTDA - EPP,2,GRAFICA 3A LTDA - ME,Prefeitura Municipal de Uberlândia
27823 - 2015,18/12/2015,1 - CONVITE,779,MAPFRE SEGUROS GERAIS S A,27830,"aquisição de apólice de seguro para imóveis centro administrativo (prédio I e II), Câmara Municipal e para a Diretoria de Armazenagem e Distribuição - DAD, em atendimento a Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de apólice de seguro para imóveis centro administrativo (prédio I e II), Câmara Municipal e para a Diretoria de Armazenagem e Distribuição - DAD, em atendimento a Secretaria Municipal de Administração.",D'AQUINO IND E COM DE MOVEIS HOSPITALARES EIRELI - EPP,434000,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,5,GRAFICA IGUACU LTDA-ME,Prefeitura Municipal de Uberlândia
21487 - 2015,01/12/2015,6 - PREGÃO ELETRÔNICO,523,ALTERNATIVA COMERCIAL LTDA - ME,861295,"futura ou eventual aquisição de materiais (sacos para lixo), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais (sacos para lixo), em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DATHA PRODUTOS ODONTOLOGICOS E NUTRICIONAIS LTDA - EPP,137676.25,POSTO BRASILIA LTDA,3,GT DO BRASIL DISTRIBUIDORA DE PAPELARIA LTDA-ME,Prefeitura Municipal de Uberlândia
